,RRM_SN,RRM_Corr,weighted_matches,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein
count,(657+0j),(657+0j),657.0,657.0,657.0,657.0,657.0
mean,(0.4222090545112658+0.0019637287169713986j),(0.8064556810554756+0.01378010346499924j),2.95738203957382,0.4569471624266156,0.567922374429225,0.13825469304921326,0.13926940639269375
std,(0.06317159720830907+0j),(0.10569530098646626+0j),1.2511011595571424,0.07139248275582433,0.033778283767016366,0.06821970082015268,0.06801438034869477
min,(0.2647665923655303-0.017432326843640343j),(0.45807046010625885+0.0566198393383364j),2.0,0.2777777777777777,0.5416666666666666,0.08333333333333337,0.08333333333333337
25%,(0.38467199413400793-0.020528189508448525j),(0.7579871376207913-0.00571290145940126j),2.0,0.38888888888888884,0.5416666666666666,0.08333333333333337,0.08333333333333337
50%,(0.416150792741584-0.06138317397647251j),(0.822024614388927-0.014321650491616131j),2.0,0.4722222222222221,0.5416666666666666,0.08333333333333337,0.08333333333333337
75%,(0.4618073336580094+0.004054349267685633j),(0.8740515281474873+0.0026442465990722686j),4.0,0.5,0.5833333333333334,0.16666666666666663,0.16666666666666663
max,(0.5886643934565896-0.0024094224405445818j),(0.9723096199682406-0.032806534479742605j),7.0,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337
