,SNR,corrcoef
count,(1612+0j),(1612+0j)
mean,(0.4079035586848626-3.5354401953748396e-05j),(0.7811408461436302+0.018231659730209963j)
std,(0.06308703226788523+0j),(0.11373403587738858+0j)
min,(0.2141840155684939-0.00672066122131523j),(0.3479439996950915+0.04670135585996591j)
25%,(0.3692784766823779-0.01852561531994209j),(0.7223603590809715+0.0647453020013213j)
50%,(0.40840274280843886+0.012563930531366233j),(0.797578534870278+0.08837280383598133j)
75%,(0.44704243150989253+0.014592422656596724j),(0.8541657124280556+0.022685255212277516j)
max,(0.5886643934565896-0.0024094224405445818j),(0.9723096199682406-0.032806534479742605j)
