,RRM_SN,RRM_Corr,weighted_matches,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein
count,(1612+0j),(1612+0j),1612.0,1612.0,1612.0,1612.0,1612.0
mean,(0.4079035586848626-3.5354401953748396e-05j),(0.7811408461436302+0.018231659730209963j),1.2363523573200992,0.42887864823349264,0.5273211331679041,0.0659636062861864,0.0672043010752683
std,(0.06308703226788523+0j),(0.11373403587738858+0j),1.4593498190596002,0.09392294029857819,0.0329247259336103,0.06791345457140975,0.06828210695986753
min,(0.2141840155684939-0.00672066122131523j),(0.3479439996950915+0.04670135585996591j),0.0,0.0,0.5,0.0,0.0
25%,(0.3692784766823779-0.01852561531994209j),(0.7223603590809715+0.0647453020013213j),0.0,0.38888888888888884,0.5,0.0,0.0
50%,(0.40840274280843886+0.012563930531366233j),(0.797578534870278+0.08837280383598133j),0.0,0.4444444444444444,0.5,0.08333333333333337,0.08333333333333337
75%,(0.44704243150989253+0.014592422656596724j),(0.8541657124280556+0.022685255212277516j),2.0,0.47777777777777786,0.5416666666666666,0.08333333333333337,0.08333333333333337
max,(0.5886643934565896-0.0024094224405445818j),(0.9723096199682406-0.032806534479742605j),7.0,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337
