,RRM_SN,RRM_Corr,weighted_matches,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein
count,(1612+0j),(1612+0j),1612.0,1612.0,1612.0,1612.0,1612.0
mean,(0.40612064616682625+7.430275385030866e-05j),(0.7875801666923341+0.014912421317858842j),1.1166253101736974,0.4437640316672616,0.5249172870140579,0.06043217535152977,0.06255169561621132
std,(0.05351226391362298+0j),(0.1093931171665029+0j),1.4107141769129286,0.08370797144268091,0.03171767347560903,0.06628464424794467,0.0685384532129069
min,(0.2667960331403962+0.05950960802758475j),(0.42247314112992473-0.08836896923364655j),0.0,0.0,0.5,0.0,0.0
25%,(0.3762206437276227-0.00787095765015209j),(0.7353868103199687+0.11668066972155469j),0.0,0.38888888888888884,0.5,0.0,0.0
50%,(0.4054074645128207-0.01102949655584123j),(0.7952607513893175-0.017495842501643603j),0.0,0.4444444444444444,0.5,0.08333333333333337,0.08333333333333337
75%,(0.43450979429336567+0.010860255537943623j),(0.8474353585090686+0.05466014828310231j),2.0,0.5,0.5416666666666666,0.08333333333333337,0.08333333333333337
max,(0.5900586211435028+0.07120881582111482j),(0.9580398350830077+0.03108862236590023j),8.0,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337
