,SNR,corrcoef
count,(1612+0j),(1612+0j)
mean,(0.40612064616682625+7.430275385030866e-05j),(0.7875801666923341+0.014912421317858842j)
std,(0.05351226391362298+0j),(0.1093931171665029+0j)
min,(0.2667960331403962+0.05950960802758475j),(0.42247314112992473-0.08836896923364655j)
25%,(0.3762206437276227-0.00787095765015209j),(0.7353868103199687+0.11668066972155469j)
50%,(0.4054074645128207-0.01102949655584123j),(0.7952607513893175-0.017495842501643603j)
75%,(0.43450979429336567+0.010860255537943623j),(0.8474353585090686+0.05466014828310231j)
max,(0.5900586211435028+0.07120881582111482j),(0.9580398350830077+0.03108862236590023j)
