,RRM_SN,RRM_Corr,weighted_matches,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein
count,(664+0j),(664+0j),664.0,664.0,664.0,664.0,664.0
mean,(0.41591975018639665-0.00044453548310480277j),(0.8062864850752525+0.01636325389337361j),2.9728915662650603,0.47156841652323656,0.5678965863453822,0.13955823293172667,0.14357429718875486
std,(0.056183240308071855+0j),(0.10633688743562983+0j),1.2819150739035,0.07207956135658326,0.03215543282700223,0.06567057986893148,0.0671903177454492
min,(0.28479000211522704-0.0005488877927253241j),(0.5291989797891322+0.023644591979658108j),2.0,0.2777777777777777,0.5416666666666666,0.08333333333333337,0.08333333333333337
25%,(0.3848037485549513+0.018195656821845374j),(0.7590069766930961+0.020647777152160873j),2.0,0.38888888888888884,0.5416666666666666,0.08333333333333337,0.08333333333333337
50%,(0.41239819994786187+0.02924771894520578j),(0.8139664257943109-0.04814071551918177j),2.0,0.4722222222222221,0.5416666666666666,0.08333333333333337,0.16666666666666663
75%,(0.44107863183113394-0.04405288198983744j),(0.8616706460555252-0.02540870362600251j),4.0,0.5444444444444444,0.5833333333333334,0.16666666666666663,0.16666666666666663
max,(0.5900586211435028+0.07120881582111482j),(0.9580398350830077+0.03108862236590023j),8.0,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337
