,RRM_SN,RRM_Corr,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein,sseq_match_score,num_match_score
count,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0
mean,1.7198685309699218,0.4150573358951489,0.4569471624266156,0.567922374429225,0.13825469304921326,0.13926940639269375,2.95738203957382,5.039573820395738
std,9.264838065656546,0.2553228250687689,0.07139248275582433,0.033778283767016366,0.06821970082015268,0.06801438034869477,1.2511011595571424,1.8987203170778755
min,3.0045410030589683e-05,0.0008715678518337499,0.2777777777777777,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,2.0
25%,0.14323030093508457,0.21059444242469189,0.38888888888888884,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,4.0
50%,0.3358896181300468,0.3958629100469799,0.4722222222222221,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,5.0
75%,1.0979722339473972,0.5679344593556728,0.5,0.5833333333333334,0.16666666666666663,0.16666666666666663,4.0,6.0
max,223.01434915005012,0.9963788679043257,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337,7.0,11.0
