,RRM_SN,RRM_Corr,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein,sseq_match_score,num_match_score
count,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
mean,3.91973458887243,0.4154269841328622,0.47156841652323656,0.5678965863453822,0.13955823293172667,0.14357429718875486,2.9728915662650603,5.063253012048193
std,5.952104562332547,0.25239982950036044,0.07207956135658326,0.03215543282700223,0.06567057986893148,0.0671903177454492,1.2819150739035,1.8254706095816526
min,0.00013587822135832802,0.0010985476927434894,0.2777777777777777,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,2.0
25%,0.6149942857975886,0.2105057787236805,0.38888888888888884,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,4.0
50%,1.5382272870371136,0.40047268622324395,0.4722222222222221,0.5416666666666666,0.08333333333333337,0.16666666666666663,2.0,5.0
75%,4.950097454885182,0.6159004722211963,0.5444444444444444,0.5833333333333334,0.16666666666666663,0.16666666666666663,4.0,6.0
max,56.135024711305434,0.989276890831054,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337,8.0,13.0
