,RRM_SN,RRM_Corr,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein,sseq_match_score,num_match_score
count,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0
mean,3.4251728176590004,0.4013117495713397,0.4437640316672616,0.5249172870140579,0.06043217535152977,0.06255169561621132,1.1166253101736974,3.925558312655087
std,5.88161806226188,0.2464274596993204,0.08370797144268091,0.03171767347560903,0.06628464424794467,0.0685384532129069,1.4107141769129286,2.0486126473104918
min,0.00013587822135832802,0.0006034971381965038,0.0,0.5,0.0,0.0,0.0,0.0
25%,0.4975055304856182,0.20501520736382928,0.38888888888888884,0.5,0.0,0.0,0.0,2.0
50%,1.369518553703173,0.3818140323845183,0.4444444444444444,0.5,0.08333333333333337,0.08333333333333337,0.0,4.0
75%,4.113291499090651,0.5892780261579065,0.5,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,5.0
max,70.39241061059455,0.989276890831054,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337,8.0,13.0
