,PAM30,BLOSUM45,RRM_SN,RRM_Corr,sseq_match_score,num_match_score
PAM30,1.0,0.9039470128480186,0.05369405997328713,0.011013108832761492,0.5879127611069498,0.6318789709442867
BLOSUM45,0.9039470128480186,1.0,0.05653801345257126,0.01003659938350724,0.6409854169266127,0.6970835229406056
RRM_SN,0.05369405997328713,0.05653801345257126,1.0,0.5198793952101536,0.05740308411624919,0.06836647775584095
RRM_Corr,0.011013108832761492,0.01003659938350724,0.5198793952101536,1.0,0.048805329949375385,0.04617019443898465
sseq_match_score,0.5879127611069498,0.6409854169266127,0.05740308411624919,0.048805329949375385,1.0,0.4334423804802086
num_match_score,0.6318789709442867,0.6970835229406056,0.06836647775584095,0.04617019443898465,0.4334423804802086,1.0
