,RRM_SN,RRM_Corr,jaro_winkler,needleman_wunsch,smith_waterman,levenshtein,sseq_match_score,num_match_score
count,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0
mean,1.8151595404464194,0.4127922764415679,0.42887864823349264,0.5273211331679041,0.0659636062861864,0.0672043010752683,1.2363523573200992,4.044665012406948
std,7.03653007720413,0.25522370296102825,0.09392294029857819,0.0329247259336103,0.06791345457140975,0.06828210695986753,1.4593498190596002,2.120630260000968
min,3.0045410030589683e-05,0.0008715678518337499,0.0,0.5,0.0,0.0,0.0,0.0
25%,0.12866118003599442,0.21494498413970706,0.38888888888888884,0.5,0.0,0.0,0.0,2.0
50%,0.38589598344793147,0.38728934191107706,0.4444444444444444,0.5,0.08333333333333337,0.08333333333333337,0.0,4.0
75%,1.3269331599878647,0.5726151760683285,0.47777777777777786,0.5416666666666666,0.08333333333333337,0.08333333333333337,2.0,6.0
max,223.01434915005012,0.9963788679043257,0.6746031746031745,0.6666666666666666,0.33333333333333337,0.33333333333333337,7.0,11.0
